region,provincia,distrito,codigo_del_recurso,nombre_del_recurso,categoria,tipo_de_categoria,sub_tipo_categoria,url,latitud,longitud,fecha_de_corte
San Martin,Moyobamba,Moyobamba,1598,Embarcadero Turístico De Tahuishco,2. Manifestaciones Culturales,Arquitectura Y Espacios Urbanos,Puertos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1598,-76.96395993232727,-6.023874050951437,2025-10-13
Ica,Chincha,Alto Laran,1599,Petroglifos De Huáncor,2. Manifestaciones Culturales,Sitios Arqueologicos,Petroglifos (Grabados En Piedra),https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1599,-75.89894318444824,-13.395124866773983,2025-10-13
Ica,Ica,La Tinguina,1610,Bodega Tacama,"4. Realizaciones Tecnicas, Cientificas Y Artisticas Contemporaneas",Explotaciones Industriales,"Bodegas De Pisco, Vinos Y/U Otros Licores",https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1610,-75.718695,-14.004184,2025-10-13
Ica,Palpa,Santa Cruz,1613,Ciudadela De Huayuri,2. Manifestaciones Culturales,Sitios Arqueologicos,Ciudadelas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1613,-75.26995903690441,-14.529183014823433,2025-10-13
Ica,Nazca,Vista Alegre,1614,Necrópolis De Chauchilla,2. Manifestaciones Culturales,Sitios Arqueologicos,Zonas Arqueologicas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1614,-74.92745518684382,-14.982451360577569,2025-10-13
Ica,Nazca,Vista Alegre,1615,Centro Administrativo Inca Los Paredones,2. Manifestaciones Culturales,Sitios Arqueologicos,Templos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1615,-74.93434846401215,-14.841541352442205,2025-10-13
Puno,Puno,Chucuito,1648,Chucuito Ciudad De Las Cajas Reales,2. Manifestaciones Culturales,Pueblos,Historicos,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1648,-69.88993138074875,-15.894431510837252,2025-10-13
Puno,Puno,Chucuito,1652,Piscicultura De Chucuito - Centro De Investigación Y Producción Pesquera De Chucuito.,"4. Realizaciones Tecnicas, Cientificas Y Artisticas Contemporaneas",Explotaciones  Agropecuarias Y Pesqueras,Piscigranja,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1652,-69.89650379866362,-15.896932800651497,2025-10-13
Puno,San Antonio De Putina,Pedro Vilca Apaza,1655,"Vicuñas De Cala Cala, Cambria Y Picotani","4. Realizaciones Tecnicas, Cientificas Y Artisticas Contemporaneas",Explotaciones  Agropecuarias Y Pesqueras,Granaderia,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1655,-69.80314498309326,-14.559847469332157,2025-10-13
Puno,Puno,Capachica,1674,Templo De San Salvador,2. Manifestaciones Culturales,Arquitectura Y Espacios Urbanos,Iglesias,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1674,-69.83048558235168,-15.642383434829446,2025-10-13
Puno,Yunguyo,Anapia,1681,Archipielago De Wiñaymarca,1. Sitios Naturales,L. Costas,Islas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1681,-68.85705996450426,-16.312490288660072,2025-10-13
Ancash,Huari,Huari,1686,Laguna Purhuay,1. Sitios Naturales,G. Cuerpo De Agua,Lagunas,https://consultasenlinea.mincetur.gob.pe/fichaInventario/index.aspx?cod_Ficha=1686,-77.20668599999999,-9.313778,2025-10-13
